当前股票 002202 股票名字 金风科技 评级为: A  .............. i =78 , i的余数为 0
当前股票 601233 股票名字 桐昆股份 评级为: A+ .............. i =79 , i的余数为 1
当前股票 600507 股票名字 方大特钢 评级为: A+ .............. i =80 , i的余数为 0
当前股票 600478 股票名字 科力远 评级为: D- .............. i =81 , i的余数为 1
当前股票 002490 股票名字 山东墨龙 评级为: B- .............. i =82 , i的余数为 0
当前股票 002845 股票名字 同兴达 评级为: B+ .............. i =83 , i的余数为 1
当前股票 002925 股票名字 盈趣科技 评级为: B+ .............. i =84 , i的余数为 0
当前股票 000717 股票名字 韶钢松山 评级为: A  .............. i =85 , i的余数为 1
当前股票 603029 股票名字 天鹅股份 评级为: B+ .............. i =86 , i的余数为 0
当前股票 600536 股票名字 中国软件 评级为: B  .............. i =87 , i的余数为 1
当前股票 000413 股票名字 东旭光电 评级为: A  .............. i =88 , i的余数为 0
当前股票 002798 股票名字 帝王洁具 评级为: A  .............. i =89 , i的余数为 1
当前股票 603056 股票名字 德邦股份 评级为: A- .............. i =90 , i的余数为 0
当前股票 600188 股票名字 兖州煤业 评级为: A+ .............. i =91 , i的余数为 1
当前股票 300045 股票名字 华力创通 评级为: B+ .............. i =92 , i的余数为 0
当前股票 601226 股票名字 华电重工 评级为: C  .............. i =93 , i的余数为 1
当前股票 002160 股票名字 常铝股份 评级为: B- .............. i =94 , i的余数为 0
当前股票 600562 股票名字 国睿科技 评级为: B+ .............. i =95 , i的余数为 1
当前股票 300480 股票名字 光力科技 评级为: B+ .............. i =96 , i的余数为 0
当前股票 603616 股票名字 韩建河山 评级为: D+ .............. i =97 , i的余数为 1
当前股票 000925 股票名字 众合科技 评级为: C- .............. i =98 , i的余数为 0
当前股票 000819 股票名字 岳阳兴长 评级为: D+ .............. i =99 , i的余数为 1
当前股票 000860 股票名字 顺鑫农业 评级为: A  .............. i =100 , i的余数为 0
当前股票 600497 股票名字 驰宏锌锗 评级为: B  .............. i =101 , i的余数为 1
当前股票 002395 股票名字 双象股份 评级为: C+ .............. i =102 , i的余数为 0
当前股票 601012 股票名字 隆基股份 评级为: D+ .............. i =103 , i的余数为 1
当前股票 002340 股票名字 格林美 评级为: B  .............. i =104 , i的余数为 0
当前股票 600740 股票名字 山西焦化 评级为: B- .............. i =105 , i的余数为 1
当前股票 601808 股票名字 中海油服 评级为: B- .............. i =106 , i的余数为 0
当前股票 603860 股票名字 中公高科 评级为: A  .............. i =107 , i的余数为 1
当前股票 601618 股票名字 中国中冶 评级为: B  .............. i =108 , i的余数为 0
当前股票 600760 股票名字 中航沈飞 评级为: B+ .............. i =109 , i的余数为 1
当前股票 000651 股票名字 格力电器 评级为: A+ .............. i =110 , i的余数为 0
当前股票 002212 股票名字 南洋股份 评级为: B  .............. i =111 , i的余数为 1
当前股票 002760 股票名字 凤形股份 评级为: C  .............. i =112 , i的余数为 0
当前股票 300606 股票名字 金太阳 评级为: A+ .............. i =113 , i的余数为 1
当前股票 603099 股票名字 长白山 评级为: B  .............. i =114 , i的余数为 0
当前股票 300523 股票名字 辰安科技 评级为: A  .............. i =115 , i的余数为 1
当前股票 002353 股票名字 杰瑞股份 评级为: B- .............. i =116 , i的余数为 0
当前股票 000972 股票名字 *ST中基 评级为: B- .............. i =117 , i的余数为 1
当前股票 002306 股票名字 *ST云网 评级为: C+ .............. i =118 , i的余数为 0
当前股票 300031 股票名字 宝通科技 评级为: B  .............. i =119 , i的余数为 1
当前股票 300633 股票名字 开立医疗 评级为: A  .............. i =120 , i的余数为 0
当前股票 300395 股票名字 菲利华 评级为: A- .............. i =121 , i的余数为 1
当前股票 300655 股票名字 晶瑞股份 评级为: A  .............. i =122 , i的余数为 0
当前股票 601888 股票名字 中国国旅 评级为: A  .............. i =123 , i的余数为 1
当前股票 300492 股票名字 山鼎设计 评级为: B  .............. i =124 , i的余数为 0
当前股票 002222 股票名字 福晶科技 评级为: A+ .............. i =125 , i的余数为 1
当前股票 600267 股票名字 海正药业 评级为: B  .............. i =126 , i的余数为 0
当前股票 300701 股票名字 森霸传感 评级为: A  .............. i =127 , i的余数为 1
当前股票 300035 股票名字 中科电气 评级为: B- .............. i =128 , i的余数为 0
当前股票 002859 股票名字 洁美科技 评级为: A  .............. i =129 , i的余数为 1
当前股票 000426 股票名字 兴业矿业 评级为: A  .............. i =130 , i的余数为 0
当前股票 002418 股票名字 康盛股份 评级为: B- .............. i =131 , i的余数为 1
当前股票 300439 股票名字 美康生物 评级为: B  .............. i =132 , i的余数为 0
当前股票 603883 股票名字 老百姓 评级为: A+ .............. i =133 , i的余数为 1
当前股票 600879 股票名字 航天电子 评级为: A- .............. i =134 , i的余数为 0
当前股票 002698 股票名字 博实股份 评级为: B  .............. i =135 , i的余数为 1
当前股票 600872 股票名字 中炬高新 评级为: A  .............. i =136 , i的余数为 0
当前股票 002179 股票名字 中航光电 评级为: A+ .............. i =137 , i的余数为 1
当前股票 603089 股票名字 正裕工业 评级为: B  .............. i =138 , i的余数为 0
当前股票 000615 股票名字 京汉股份 评级为: B  .............. i =139 , i的余数为 1
当前股票 300414 股票名字 中光防雷 评级为: C+ .............. i =140 , i的余数为 0
当前股票 002867 股票名字 周大生 评级为: A  .............. i =141 , i的余数为 1
当前股票 600888 股票名字 新疆众和 评级为: B- .............. i =142 , i的余数为 0
当前股票 002884 股票名字 凌霄泵业 评级为: B+ .............. i =143 , i的余数为 1
当前股票 603698 股票名字 航天工程 评级为: B  .............. i =144 , i的余数为 0
当前股票 600850 股票名字 华东电脑 评级为: B  .............. i =145 , i的余数为 1
当前股票 000922 股票名字 *ST佳电 评级为: A- .............. i =146 , i的余数为 0
当前股票 600198 股票名字 大唐电信 评级为: C- .............. i =147 , i的余数为 1
当前股票 002795 股票名字 永和智控 评级为: B- .............. i =148 , i的余数为 0
当前股票 300334 股票名字 津膜科技 评级为: C- .............. i =149 , i的余数为 1
当前股票 600019 股票名字 宝钢股份 评级为: A+ .............. i =150 , i的余数为 0
当前股票 600476 股票名字 湘邮科技 评级为: C  .............. i =151 , i的余数为 1
当前股票 002579 股票名字 中京电子 评级为: B+ .............. i =152 , i的余数为 0
当前股票 000603 股票名字 盛达矿业 评级为: B  .............. i =153 , i的余数为 1
当前股票 002383 股票名字 合众思壮 评级为: B+ .............. i =154 , i的余数为 0
当前股票 603076 股票名字 乐惠国际 评级为: A  .............. i =155 , i的余数为 1
当前股票 000697 股票名字 炼石有色 评级为: C+ .............. i =156 , i的余数为 0
当前股票 600874 股票名字 创业环保 评级为: B+ .............. i =157 , i的余数为 1
当前股票 000932 股票名字 华菱钢铁 评级为: A  .............. i =158 , i的余数为 0
当前股票 300034 股票名字 钢研高纳 评级为: B- .............. i =159 , i的余数为 1
当前股票 603200 股票名字 上海洗霸 评级为: A  .............. i =160 , i的余数为 0
当前股票 600282 股票名字 南钢股份 评级为: A+ .............. i =161 , i的余数为 1
当前股票 600990 股票名字 四创电子 评级为: A  .............. i =162 , i的余数为 0
当前股票 300566 股票名字 激智科技 评级为: B+ .............. i =163 , i的余数为 1
当前股票 000831 股票名字 五矿稀土 评级为: B  .............. i =164 , i的余数为 0
当前股票 300274 股票名字 阳光电源 评级为: D+ .............. i =165 , i的余数为 1
当前股票 300721 股票名字 怡达股份 评级为: A  .............. i =166 , i的余数为 0
当前股票 300483 股票名字 沃施股份 评级为: B  .............. i =167 , i的余数为 1
当前股票 600732 股票名字 ST新梅 评级为: B+ .............. i =168 , i的余数为 0
当前股票 600895 股票名字 张江高科 评级为: B  .............. i =169 , i的余数为 1
当前股票 603396 股票名字 金辰股份 评级为: B  .............. i =170 , i的余数为 0
当前股票 000948 股票名字 南天信息 评级为: D  .............. i =171 , i的余数为 1
当前股票 002350 股票名字 北京科锐 评级为: B+ .............. i =172 , i的余数为 0
当前股票 601088 股票名字 中国神华 评级为: A+ .............. i =173 , i的余数为 1
当前股票 600726 股票名字 华电能源 评级为: D  .............. i =174 , i的余数为 0
当前股票 600680 股票名字 *ST上普 评级为: C- .............. i =175 , i的余数为 1
当前股票 603359 股票名字 东珠景观 评级为: A  .............. i =176 , i的余数为 0
当前股票 002289 股票名字 宇顺电子 评级为: C- .............. i =177 , i的余数为 1
当前股票 000821 股票名字 京山轻机 评级为: A  .............. i =178 , i的余数为 0
当前股票 603978 股票名字 深圳新星 评级为: A  .............. i =179 , i的余数为 1
当前股票 002802 股票名字 洪汇新材 评级为: B+ .............. i =180 , i的余数为 0
当前股票 002199 股票名字 东晶电子 评级为: B  .............. i =181 , i的余数为 1
当前股票 300269 股票名字 联建光电 评级为: B+ .............. i =182 , i的余数为 0
当前股票 300139 股票名字 晓程科技 评级为: D+ .............. i =183 , i的余数为 1
当前股票 002573 股票名字 清新环境 评级为: A  .............. i =184 , i的余数为 0
当前股票 300581 股票名字 晨曦航空 评级为: B  .............. i =185 , i的余数为 1
当前股票 600782 股票名字 新钢股份 评级为: A+ .............. i =186 , i的余数为 0
当前股票 300730 股票名字 科创信息 评级为: B  .............. i =187 , i的余数为 1
当前股票 002542 股票名字 中化岩土 评级为: B- .............. i =188 , i的余数为 0
当前股票 000839 股票名字 中信国安 评级为: B- .............. i =189 , i的余数为 1
当前股票 600259 股票名字 广晟有色 评级为: B  .............. i =190 , i的余数为 0
当前股票 601677 股票名字 明泰铝业 评级为: B+ .............. i =191 , i的余数为 1
当前股票 000568 股票名字 泸州老窖 评级为: A+ .............. i =192 , i的余数为 0
当前股票 000953 股票名字 *ST河化 评级为: C  .............. i =193 , i的余数为 1
当前股票 601908 股票名字 京运通 评级为: D- .............. i =194 , i的余数为 0
当前股票 000801 股票名字 四川九洲 评级为: C- .............. i =195 , i的余数为 1
当前股票 002338 股票名字 奥普光电 评级为: B- .............. i =196 , i的余数为 0
当前股票 300481 股票名字 濮阳惠成 评级为: B+ .............. i =197 , i的余数为 1
当前股票 300676 股票名字 华大基因 评级为: A  .............. i =198 , i的余数为 0
当前股票 002517 股票名字 恺英网络 评级为: A+ .............. i =199 , i的余数为 1
当前股票 000158 股票名字 常山北明 评级为: B  .............. i =200 , i的余数为 0
当前股票 002903 股票名字 宇环数控 评级为: A  .............. i =201 , i的余数为 1
当前股票 002420 股票名字 毅昌股份 评级为: C- .............. i =202 , i的余数为 0
当前股票 002171 股票名字 楚江新材 评级为: A- .............. i =203 , i的余数为 1
当前股票 300516 股票名字 久之洋 评级为: B  .............. i =204 , i的余数为 0
当前股票 601717 股票名字 郑煤机 评级为: B+ .............. i =205 , i的余数为 1
当前股票 002292 股票名字 奥飞娱乐 评级为: D- .............. i =206 , i的余数为 0
当前股票 601225 股票名字 陕西煤业 评级为: A+ .............. i =207 , i的余数为 1
当前股票 300631 股票名字 久吾高科 评级为: A+ .............. i =208 , i的余数为 0
当前股票 600419 股票名字 天润乳业 评级为: A- .............. i =209 , i的余数为 1
当前股票 600519 股票名字 贵州茅台 评级为: A+ .............. i =210 , i的余数为 0
当前股票 601518 股票名字 吉林高速 评级为: B+ .............. i =211 , i的余数为 1
当前股票 300117 股票名字 嘉寓股份 评级为: B  .............. i =212 , i的余数为 0
当前股票 600636 股票名字 *ST爱富 评级为: B  .............. i =213 , i的余数为 1
当前股票 002484 股票名字 江海股份 评级为: B+ .............. i =214 , i的余数为 0
当前股票 300628 股票名字 亿联网络 评级为: A  .............. i =215 , i的余数为 1
当前股票 600517 股票名字 置信电气 评级为: B  .............. i =216 , i的余数为 0
当前股票 603133 股票名字 碳元科技 评级为: A- .............. i =217 , i的余数为 1
当前股票 600645 股票名字 中源协和 评级为: B- .............. i =218 , i的余数为 0
当前股票 000565 股票名字 渝三峡Ａ 评级为: B- .............. i =219 , i的余数为 1
当前股票 002591 股票名字 恒大高新 评级为: C- .............. i =220 , i的余数为 0
当前股票 002779 股票名字 中坚科技 评级为: B  .............. i =221 , i的余数为 1
当前股票 300707 股票名字 威唐工业 评级为: A  .............. i =222 , i的余数为 0
当前股票 600099 股票名字 林海股份 评级为: B- .............. i =223 , i的余数为 1
当前股票 600410 股票名字 华胜天成 评级为: B  .............. i =224 , i的余数为 0
当前股票 300416 股票名字 苏试试验 评级为: A  .............. i =225 , i的余数为 1
当前股票 002785 股票名字 万里石 评级为: B  .............. i =226 , i的余数为 0
当前股票 002715 股票名字 登云股份 评级为: A  .............. i =227 , i的余数为 1
当前股票 600623 股票名字 华谊集团 评级为: A  .............. i =228 , i的余数为 0
当前股票 002664 股票名字 长鹰信质 评级为: A- .............. i =229 , i的余数为 1
当前股票 603011 股票名字 合锻智能 评级为: B- .............. i =230 , i的余数为 0
当前股票 600435 股票名字 北方导航 评级为: B- .............. i =231 , i的余数为 1
当前股票 300136 股票名字 信维通信 评级为: A+ .............. i =232 , i的余数为 0
当前股票 300161 股票名字 华中数控 评级为: B- .............. i =233 , i的余数为 1
当前股票 002578 股票名字 闽发铝业 评级为: B- .............. i =234 , i的余数为 0
当前股票 603595 股票名字 东尼电子 评级为: A- .............. i =235 , i的余数为 1
当前股票 002725 股票名字 跃岭股份 评级为: B+ .............. i =236 , i的余数为 0
当前股票 600358 股票名字 国旅联合 评级为: B  .............. i =237 , i的余数为 1
当前股票 000728 股票名字 国元证券 评级为: B  .............. i =238 , i的余数为 0
当前股票 002907 股票名字 华森制药 评级为: A  .............. i =239 , i的余数为 1
当前股票 600486 股票名字 扬农化工 评级为: A+ .............. i =240 , i的余数为 0
当前股票 600867 股票名字 通化东宝 评级为: A+ .............. i =241 , i的余数为 1
当前股票 300600 股票名字 瑞特股份 评级为: A  .............. i =242 , i的余数为 0
